Currency,Date,Closing Price (USD),24h Open (USD),24h High (USD),24h Low (USD)
XMR,2019-02-02,41.8368341996,42.8834584715,42.884398321,40.4110189031
XMR,2019-02-03,42.0917080413,41.8368779183,42.8530822005,41.5718406298
XMR,2019-02-04,42.1008664497,42.2239294933,42.4833342677,41.4152129166
XMR,2019-02-05,42.630555094,42.0807992738,42.717711146,41.8805875525
XMR,2019-02-06,42.6073668164,42.5186750499,42.7540563591,41.5747753276
XMR,2019-02-07,43.3717954172,42.7212909111,43.4441697108,42.365263262
XMR,2019-02-08,47.2012759872,43.3724316919,48.8021620534,42.6756227216
XMR,2019-02-09,47.2001889177,47.2020046497,47.7201578158,46.454846053
XMR,2019-02-10,47.8208568757,47.1999090705,47.845723277,45.8461927724
XMR,2019-02-11,47.1535760262,47.8216160135,48.8119156562,45.9371613864
XMR,2019-02-12,47.3303564669,47.1535823364,48.110858747,46.0629811435
XMR,2019-02-13,48.3894420423,47.8486719941,49.8152996846,47.3534836874
XMR,2019-02-14,46.2621418927,48.3894420423,48.464374467,45.0344082364
XMR,2019-02-15,47.1441284366,46.0292802386,47.6414614275,45.5746716833
XMR,2019-02-16,46.0233286601,47.1436591302,47.4699945467,46.0084489994
XMR,2019-02-17,46.7104878296,46.0221594217,47.1424249597,45.7105159753
XMR,2019-02-18,48.8984269068,46.7100519314,50.5507876126,46.7058719004
XMR,2019-02-19,51.2702683114,49.6976987788,51.5963555453,49.0801209795
XMR,2019-02-20,49.8255739663,51.2697888791,51.2704936842,48.7608835653
XMR,2019-02-21,48.5476797155,49.8255802511,50.2535546325,48.4799060109
XMR,2019-02-22,50.1916249373,48.8375308955,50.4872539183,48.6794860129
XMR,2019-02-23,51.3664610677,50.1916143453,51.8251561618,49.1944783925
XMR,2019-02-24,47.4611177205,51.3662453614,53.9683425735,47.385563576
XMR,2019-02-25,47.4670660125,47.4611138491,48.4124136138,46.8435347479
XMR,2019-02-26,47.5689719801,47.4674856147,47.9405815448,46.8737347735
XMR,2019-02-27,47.439698869,47.4402406913,48.2488930067,47.0172578511
XMR,2019-02-28,47.5022235904,47.4381248378,48.5063230773,47.1319671807
XMR,2019-03-01,47.9549073138,47.5021550664,48.072242599,47.185864688
XMR,2019-03-02,47.9816979873,47.9549057644,48.0416442304,47.1301457659
XMR,2019-03-03,47.9592638078,47.9817021452,48.6616054563,47.6232404131
XMR,2019-03-04,46.8201648277,47.959319063,48.7638022997,45.7596744959
XMR,2019-03-05,48.1540890981,47.06578432,48.8876768202,46.2821089616
XMR,2019-03-06,48.66629126,48.1536492984,48.8353922048,47.3747995441
XMR,2019-03-07,49.2712708475,48.6663165281,49.9013733038,48.6466125088
XMR,2019-03-08,48.5354576679,49.2712698281,49.5642514991,47.7260360221
XMR,2019-03-09,48.4787194864,48.3712140314,49.4075551729,48.0725729388
XMR,2019-03-10,48.8682091191,48.5676582329,49.0902273407,48.2475957919
XMR,2019-03-11,48.9930885174,48.9532826229,49.0797708877,47.7077716032
XMR,2019-03-12,49.8262781554,48.9919130522,49.8699156201,47.7907498917
XMR,2019-03-13,50.1838132462,49.8262611942,50.7117376643,49.2206339206
XMR,2019-03-14,50.3598181597,50.1837321568,51.7832365193,49.3081118594
XMR,2019-03-15,51.5698343296,50.3518753509,51.6131518935,50.2016464389
XMR,2019-03-16,53.9600940612,51.5698049073,54.3786999818,51.1815283553
XMR,2019-03-17,51.8110034074,52.7980291488,53.8589260209,50.7699937368
XMR,2019-03-18,51.6136929035,51.8109873979,52.8271531175,51.0822495162
XMR,2019-03-19,54.1589800354,52.3605124143,54.1944365762,51.4357911132
XMR,2019-03-20,55.0140429603,54.1176237254,56.9609681018,52.3152860255
XMR,2019-03-21,52.9152655619,55.3610968384,55.4053223598,51.4039650967
XMR,2019-03-22,53.1038226669,52.915229109,53.5041948179,52.105653729
XMR,2019-03-23,52.7678885941,53.011546103,53.3610936918,52.0989270466
XMR,2019-03-24,52.929820178,52.7678885941,53.2004571839,52.5629970126
XMR,2019-03-25,51.6183125231,52.9298213904,53.4440962291,50.7915910047
XMR,2019-03-26,52.4024169115,51.6183125232,52.4039475274,50.3226880101
XMR,2019-03-27,53.4105431111,52.3111230827,53.7610984786,52.2652340851
XMR,2019-03-28,52.9590125057,53.4105431111,53.6326006104,52.6409666514
XMR,2019-03-29,53.7088664922,52.9590126514,54.506497179,52.2664307679
